loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,occupancy_type,income,credit_type,Credit_Score,co-applicant_credit_type,age,LTV,Region,Security_Type,Status,dtir1
cf,Joint,nopre,type3,p1,l1,nopc,nob/c,476500,360,not_neg,not_int,not_lpsm,418000,pr,6780,EQUI,518,EXP,45-54,75.2016129,south,direct,1,39
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,196500,360,not_neg,not_int,not_lpsm,258000,pr,3840,EXP,812,EXP,25-34,76.1627907,south,direct,0,49
cf,Female,nopre,type1,p1,l1,nopc,nob/c,186500,360,not_neg,not_int,not_lpsm,218000,pr,3840,CRIF,534,CIB,55-64,85.55045872,central,direct,0,46
cf,Female,nopre,type1,p1,l1,nopc,nob/c,436500,360,not_neg,not_int,not_lpsm,468000,pr,4920,CIB,647,EXP,35-44,93.26923077,south,direct,0,42
cf,Male,nopre,type2,p1,l1,nopc,b/c,246500,360,not_neg,not_int,not_lpsm,258000,pr,5400,EXP,683,CIB,25-34,95.54263566,North,direct,0,39
cf,Male,nopre,type3,p4,l1,nopc,nob/c,216500,360,not_neg,not_int,not_lpsm,228000,pr,5700,CIB,705,CIB,55-64,94.95614035,North,direct,0,39
cf,Male,nopre,type1,p1,l1,nopc,nob/c,306500,360,not_neg,not_int,not_lpsm,318000,pr,5580,EXP,701,CIB,35-44,96.3836478,North,direct,0,37
cf,Male,pre,type1,p1,l1,nopc,nob/c,316500,360,not_neg,int_only,not_lpsm,338000,pr,3720,EXP,591,CIB,45-54,93.63905325,North,direct,0,41
cf,Male,pre,type1,p1,l1,nopc,nob/c,506500,360,not_neg,not_int,not_lpsm,538000,pr,7500,CIB,647,CIB,25-34,94.14498141,North,direct,0,36
cf,Female,nopre,type1,p3,l1,nopc,nob/c,266500,360,not_neg,not_int,not_lpsm,408000,pr,3540,EXP,889,CIB,45-54,65.31862745,south,direct,0,40
cf,Male,nopre,type1,p1,l1,nopc,nob/c,406500,360,not_neg,not_int,not_lpsm,1018000,ir,9180,EXP,651,CIB,55-64,39.93123772,south,direct,0,38
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,656500,360,not_neg,not_int,not_lpsm,1108000,pr,9660,EXP,716,EXP,45-54,59.25090253,North,direct,0,42
ncf,Male,pre,type1,p4,l1,nopc,nob/c,256500,180,not_neg,not_int,not_lpsm,418000,pr,3780,EXP,780,EXP,65-74,61.36363636,central,direct,1,45
cf,Male,nopre,type1,p4,l1,nopc,nob/c,396500,360,not_neg,not_int,not_lpsm,418000,pr,7560,CRIF,799,CIB,35-44,94.85645933,North,direct,1,42
cf,Male,nopre,type1,p3,l1,nopc,nob/c,396500,360,not_neg,not_int,not_lpsm,528000,pr,9060,EXP,766,CIB,35-44,75.09469697,south,direct,0,30
cf,Female,pre,type2,p3,l1,nopc,b/c,166500,360,not_neg,not_int,not_lpsm,198000,pr,3480,CIB,868,CIB,35-44,84.09090909,central,direct,0,56
cf,Male,nopre,type3,p4,l1,nopc,nob/c,466500,360,not_neg,not_int,not_lpsm,418000,pr,0,EQUI,765,EXP,45-54,75.2016129,North,direct,1,39
cf,Male,nopre,type2,p4,l1,nopc,b/c,236500,360,not_neg,not_int,not_lpsm,248000,pr,3120,CRIF,673,CIB,35-44,95.36290323,central,direct,1,38
ncf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,866500,360,neg_amm,not_int,not_lpsm,1508000,pr,13620,CRIF,876,EXP,35-44,57.4602122,south,direct,1,44
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,416500,360,not_neg,not_int,not_lpsm,528000,pr,7380,CRIF,886,EXP,45-54,78.88257576,North,direct,0,39
cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,436500,360,not_neg,not_int,not_lpsm,508000,pr,4920,CRIF,772,EXP,55-64,85.92519685,south,direct,0,38
ncf,Joint,nopre,type1,p3,l1,nopc,nob/c,356500,360,not_neg,not_int,not_lpsm,608000,pr,3720,CRIF,640,EXP,55-64,58.63486842,North,direct,0,49
cf,Male,nopre,type3,p4,l1,nopc,nob/c,386500,360,not_neg,not_int,not_lpsm,428000,pr,5700,CIB,798,CIB,45-54,90.30373832,south,direct,0,39
cf,Female,nopre,type1,p1,l1,nopc,nob/c,596500,360,not_neg,not_int,not_lpsm,668000,pr,6780,CRIF,858,EXP,25-34,89.29640719,North,direct,0,39
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,196500,312,not_neg,not_int,not_lpsm,338000,pr,9060,CIB,543,EXP,25-34,58.13609467,south,direct,0,30
cf,Male,nopre,type1,p4,l1,nopc,nob/c,206500,180,not_neg,not_int,not_lpsm,708000,pr,9600,EXP,846,CIB,65-74,29.16666667,North,direct,0,23
cf,Joint,nopre,type3,p3,l1,nopc,nob/c,136500,360,not_neg,not_int,not_lpsm,418000,pr,3360,EQUI,555,EXP,65-74,75.2016129,North,direct,1,39
ncf,Female,nopre,type1,p3,l1,nopc,nob/c,166500,360,not_neg,not_int,not_lpsm,418000,pr,4560,EQUI,603,EXP,65-74,75.2016129,North,direct,1,39
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,606500,360,not_neg,not_int,not_lpsm,808000,ir,22500,EXP,808,EXP,35-44,75.06188119,central,direct,0,28
cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,86500,360,not_neg,not_int,not_lpsm,948000,pr,3300,CIB,519,EXP,55-64,9.124472574,south,direct,1,31
ncf,Female,nopre,type1,p2,l1,nopc,nob/c,116500,180,not_neg,not_int,not_lpsm,128000,ir,4140,CIB,786,EXP,45-54,91.015625,south,direct,1,11
cf,Male,pre,type1,p3,l1,nopc,nob/c,426500,180,not_neg,not_int,not_lpsm,598000,pr,6000,CIB,769,CIB,45-54,71.32107023,south,direct,0,42
ncf,Male,pre,type1,p3,l1,nopc,nob/c,166500,144,not_neg,not_int,not_lpsm,238000,pr,6600,CRIF,685,CIB,35-44,69.95798319,North,direct,0,30
cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,426500,180,not_neg,not_int,not_lpsm,608000,pr,11340,CRIF,556,CIB,35-44,70.14802632,south,direct,0,27
cf,Male,nopre,type1,p4,l1,nopc,nob/c,376500,360,neg_amm,not_int,not_lpsm,718000,pr,7080,EXP,567,CIB,65-74,52.43732591,North,direct,0,20
cf,Male,nopre,type2,p1,l1,nopc,b/c,286500,360,not_neg,not_int,not_lpsm,298000,pr,4800,CIB,632,CIB,35-44,96.1409396,North,direct,0,31
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,706500,360,not_neg,not_int,not_lpsm,888000,pr,8520,CIB,818,EXP,35-44,79.56081081,south,direct,0,40
cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,146500,360,not_neg,not_int,not_lpsm,148000,pr,2760,EXP,584,CIB,<25,98.98648649,south,direct,0,55
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,446500,240,not_neg,not_int,not_lpsm,628000,pr,7140,EXP,750,EXP,55-64,71.09872611,North,direct,0,34
cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,360,not_neg,not_int,not_lpsm,608000,pr,5820,EXP,808,CIB,55-64,47.12171053,south,direct,0,22
cf,Joint,nopre,type3,p3,l1,nopc,nob/c,166500,360,not_neg,not_int,not_lpsm,418000,pr,2100,EQUI,838,EXP,65-74,75.2016129,North,direct,1,39
cf,Female,nopre,type2,p4,l1,nopc,b/c,636500,360,not_neg,int_only,not_lpsm,658000,pr,12000,CIB,741,CIB,65-74,96.7325228,south,direct,1,36
cf,Female,nopre,type2,p3,l1,nopc,b/c,226500,360,not_neg,not_int,not_lpsm,258000,pr,3720,CRIF,820,CIB,25-34,87.79069767,North,direct,0,40
cf,Sex Not Available,nopre,type1,p3,l2,nopc,nob/c,316500,360,not_neg,not_int,not_lpsm,928000,pr,5880,CRIF,665,CIB,65-74,34.10560345,south,direct,0,24
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,156500,360,not_neg,not_int,not_lpsm,208000,pr,3300,CRIF,783,EXP,>74,75.24038462,south,direct,0,30
cf,Male,nopre,type1,p1,l2,nopc,nob/c,706500,360,not_neg,not_int,not_lpsm,748000,pr,8400,EXP,663,CIB,35-44,94.45187166,south,direct,0,46
cf,Female,nopre,type1,p3,l1,nopc,nob/c,196500,240,not_neg,not_int,not_lpsm,318000,pr,5520,EXP,612,CIB,65-74,61.79245283,North,direct,0,30
cf,Male,nopre,type3,p1,l1,nopc,nob/c,166500,360,not_neg,not_int,not_lpsm,168000,pr,2040,CRIF,739,CIB,65-74,99.10714286,North,direct,0,52
cf,Male,nopre,type1,p4,l1,nopc,nob/c,486500,360,not_neg,not_int,not_lpsm,1198000,pr,8580,CIB,812,CIB,45-54,40.60934891,North,direct,0,33
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,406500,360,not_neg,not_int,not_lpsm,428000,pr,10740,EXP,571,EXP,45-54,94.97663551,central,direct,0,44
ncf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,146500,360,not_neg,not_int,not_lpsm,188000,pr,2400,CRIF,870,CIB,35-44,77.92553191,south,direct,1,49
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,306500,360,not_neg,not_int,not_lpsm,408000,ir,12600,CRIF,793,EXP,35-44,75.12254902,North,direct,0,30
cf,Male,nopre,type1,p4,l1,nopc,nob/c,266500,300,not_neg,not_int,not_lpsm,298000,pr,5040,CRIF,804,CIB,35-44,89.4295302,North,direct,0,26
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,436500,240,not_neg,not_int,not_lpsm,588000,pr,7860,CIB,801,EXP,35-44,74.23469388,south,direct,0,40
cf,Male,nopre,type1,p4,l1,nopc,nob/c,446500,360,not_neg,not_int,not_lpsm,1308000,pr,5700,CIB,711,CIB,55-64,34.13608563,North,direct,0,47
cf,Female,nopre,type2,p1,l1,nopc,b/c,216500,360,not_neg,not_int,not_lpsm,218000,pr,2580,CIB,673,EXP,55-64,99.31192661,central,direct,0,49
cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,476500,360,not_neg,int_only,not_lpsm,688000,pr,15180,CIB,634,EXP,45-54,69.25872093,south,direct,0,23
cf,Male,nopre,type1,p4,l1,nopc,nob/c,466500,360,not_neg,not_int,not_lpsm,658000,pr,8700,CIB,834,CIB,55-64,70.89665653,North,direct,0,33
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,326500,240,not_neg,int_only,not_lpsm,418000,pr,5400,EQUI,764,EXP,25-34,75.2016129,south,direct,1,39
cf,Joint,nopre,type2,p1,l1,nopc,b/c,656500,360,not_neg,not_int,not_lpsm,678000,pr,8160,CRIF,865,EXP,25-34,96.82890855,North,direct,1,60
cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,506500,360,not_neg,not_int,not_lpsm,808000,ir,9180,EXP,593,CIB,45-54,62.68564356,south,direct,1,44
cf,Sex Not Available,pre,type3,p4,l1,nopc,nob/c,246500,360,not_neg,not_int,not_lpsm,358000,pr,5700,EXP,511,EXP,35-44,68.8547486,south,direct,0,39
cf,Joint,pre,type1,p3,l1,nopc,nob/c,186500,360,not_neg,not_int,not_lpsm,288000,pr,5640,CRIF,533,EXP,65-74,64.75694444,south,direct,1,31
cf,Joint,nopre,type1,p3,l2,opc,nob/c,56500,360,not_neg,int_only,not_lpsm,2008000,pr,7980,EXP,677,EXP,65-74,2.81374502,North,direct,0,41
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,486500,360,not_neg,not_int,not_lpsm,578000,sr,9840,EXP,774,CIB,65-74,84.16955017,south,direct,0,44
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,346500,360,not_neg,not_int,not_lpsm,3408000,pr,11460,EXP,638,EXP,>74,10.16725352,North,direct,0,25
cf,Male,pre,type1,p3,l1,nopc,nob/c,136500,180,not_neg,not_int,not_lpsm,348000,pr,3660,EXP,644,CIB,55-64,39.22413793,North,direct,0,44
cf,Male,pre,type3,p1,l1,nopc,nob/c,586500,360,not_neg,not_int,not_lpsm,588000,pr,7140,EXP,732,CIB,35-44,99.74489796,south,direct,0,49
cf,Female,nopre,type1,p4,l1,nopc,nob/c,336500,360,not_neg,not_int,lpsm,418000,pr,7440,EQUI,586,EXP,55-64,75.2016129,North,direct,1,39
cf,Female,nopre,type2,p3,l1,nopc,b/c,76500,300,neg_amm,not_int,not_lpsm,88000,pr,2940,CIB,642,CIB,35-44,86.93181818,North,direct,0,45
ncf,Male,pre,type3,p4,l1,nopc,nob/c,286500,360,not_neg,not_int,not_lpsm,258000,pr,5700,EXP,872,CIB,65-74,111.0465116,south,direct,1,39
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,136500,180,not_neg,not_int,not_lpsm,208000,pr,3000,EXP,898,CIB,55-64,65.625,south,direct,0,45
ncf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,486500,360,not_neg,not_int,not_lpsm,598000,pr,14640,CIB,734,CIB,45-54,81.35451505,south,direct,0,31
cf,Female,nopre,type1,p1,l1,nopc,nob/c,416500,360,not_neg,int_only,not_lpsm,498000,pr,3840,CIB,639,CIB,25-34,83.63453815,North,direct,0,47
cf,Male,nopre,type1,p1,l1,nopc,nob/c,186500,360,not_neg,not_int,not_lpsm,348000,pr,2880,EXP,506,CIB,55-64,53.59195402,North,direct,0,46
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,186500,360,not_neg,not_int,not_lpsm,418000,pr,5700,EQUI,664,EXP,65-74,75.2016129,North,direct,1,39
cf,Male,nopre,type2,p1,l1,nopc,b/c,316500,360,not_neg,not_int,not_lpsm,318000,pr,7680,EXP,670,CIB,45-54,99.52830189,North,direct,0,32
cf,Male,nopre,type2,p4,l1,nopc,b/c,346500,360,not_neg,int_only,not_lpsm,478000,pr,5700,EXP,577,CIB,35-44,72.48953975,North,direct,1,39
cf,Male,nopre,type1,p4,l1,nopc,nob/c,326500,348,not_neg,not_int,not_lpsm,438000,pr,6840,EXP,857,CIB,55-64,74.543379,south,direct,0,46
cf,Joint,nopre,type1,p3,l2,nopc,nob/c,256500,180,not_neg,not_int,not_lpsm,818000,pr,10260,CRIF,653,EXP,55-64,31.35696822,North,direct,0,10
cf,Male,nopre,type1,p1,l1,nopc,nob/c,226500,360,not_neg,not_int,not_lpsm,408000,pr,3120,CRIF,595,CIB,<25,55.51470588,North,direct,1,41
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,226500,360,neg_amm,not_int,not_lpsm,588000,ir,17340,EXP,639,EXP,55-64,38.52040816,North,direct,0,32
ncf,Joint,pre,type1,p1,l1,nopc,nob/c,906500,360,not_neg,not_int,not_lpsm,1308000,pr,12180,CIB,787,EXP,35-44,69.30428135,south,direct,0,39
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,386500,360,not_neg,not_int,not_lpsm,558000,pr,5520,CIB,560,EXP,45-54,69.26523297,south,direct,0,38
cf,Joint,nopre,type2,p1,l1,nopc,b/c,496500,360,not_neg,not_int,not_lpsm,508000,pr,6060,CRIF,613,EXP,25-34,97.73622047,south,direct,1,56
ncf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,106500,180,not_neg,not_int,not_lpsm,418000,pr,5220,EQUI,514,EXP,45-54,75.2016129,south,direct,1,39
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,186500,360,not_neg,not_int,not_lpsm,528000,pr,2640,EXP,867,EXP,45-54,35.3219697,south,direct,0,49
cf,Female,nopre,type1,p4,l1,nopc,nob/c,246500,360,neg_amm,not_int,not_lpsm,288000,pr,4920,CRIF,717,CIB,55-64,85.59027778,North,direct,0,36
ncf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,126500,324,neg_amm,not_int,not_lpsm,418000,pr,4800,EQUI,872,EXP,>74,75.2016129,south,direct,1,39
cf,Sex Not Available,pre,type2,p1,l1,nopc,b/c,226500,360,not_neg,not_int,not_lpsm,228000,pr,4200,EXP,619,CIB,45-54,99.34210526,south,direct,0,60
cf,Male,nopre,type3,p4,l1,nopc,nob/c,416500,360,not_neg,not_int,not_lpsm,508000,pr,5700,EXP,668,CIB,45-54,81.98818898,central,direct,0,39
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,146500,360,not_neg,not_int,not_lpsm,208000,pr,8160,EXP,640,EXP,45-54,70.43269231,North,direct,0,42
cf,Female,pre,type2,p4,l1,nopc,b/c,216500,360,not_neg,not_int,not_lpsm,418000,pr,4440,EQUI,600,EXP,55-64,75.2016129,North,direct,1,39
cf,Male,nopre,type1,p4,l1,nopc,nob/c,396500,360,not_neg,not_int,not_lpsm,768000,pr,11400,CRIF,524,CIB,55-64,51.62760417,North,direct,0,15
cf,Female,nopre,type1,p1,l1,nopc,nob/c,246500,360,not_neg,not_int,not_lpsm,318000,pr,3240,EXP,883,CIB,25-34,77.51572327,North,direct,0,40
cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,316500,360,not_neg,not_int,not_lpsm,388000,pr,3300,CIB,503,EXP,65-74,81.57216495,south,direct,0,53
ncf,Joint,pre,type1,p1,l1,nopc,nob/c,296500,360,not_neg,not_int,not_lpsm,318000,pr,3840,CRIF,887,EXP,45-54,93.23899371,North,direct,0,46
cf,Male,nopre,type3,p4,l1,nopc,nob/c,436500,360,not_neg,not_int,not_lpsm,558000,pr,5700,CRIF,604,EXP,65-74,78.22580645,North,direct,0,39
cf,Female,pre,type1,p3,l1,nopc,nob/c,226500,360,not_neg,not_int,not_lpsm,288000,pr,6600,CRIF,644,CIB,35-44,78.64583333,south,direct,1,31
ncf,Joint,nopre,type3,p4,l1,nopc,nob/c,506500,360,not_neg,not_int,not_lpsm,578000,pr,5700,CRIF,648,EXP,35-44,87.62975779,central,direct,0,39
cf,Male,nopre,type1,p4,l1,nopc,nob/c,296500,360,not_neg,not_int,not_lpsm,608000,pr,8400,CIB,797,CIB,35-44,48.76644737,south,direct,0,7
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,386500,360,not_neg,int_only,not_lpsm,598000,pr,5820,EXP,806,CIB,25-34,64.63210702,south,direct,0,38
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,106500,120,not_neg,not_int,not_lpsm,618000,pr,6540,CRIF,845,EXP,55-64,17.23300971,central,direct,0,19
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,706500,360,not_neg,not_int,not_lpsm,898000,pr,15240,CRIF,815,CIB,45-54,78.67483296,North,direct,0,27
cf,Male,nopre,type1,p3,l1,nopc,nob/c,176500,180,not_neg,not_int,not_lpsm,278000,pr,5280,CIB,585,CIB,45-54,63.48920863,North,direct,0,37
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,496500,360,neg_amm,not_int,not_lpsm,588000,pr,8280,CIB,729,EXP,35-44,84.43877551,south,direct,0,40
cf,Female,nopre,type1,p3,l1,nopc,nob/c,606500,360,not_neg,not_int,not_lpsm,978000,pr,16740,EXP,538,CIB,65-74,62.01431493,North,direct,0,20
cf,Female,nopre,type2,p1,l1,nopc,b/c,126500,360,not_neg,not_int,not_lpsm,138000,pr,2220,CIB,629,CIB,65-74,91.66666667,North,direct,0,55
cf,Male,nopre,type2,p3,l1,nopc,b/c,156500,180,not_neg,not_int,not_lpsm,198000,pr,3780,CIB,791,CIB,55-64,79.04040404,North,direct,0,30
cf,Female,nopre,type1,p4,l1,nopc,nob/c,196500,360,not_neg,not_int,not_lpsm,208000,pr,5580,CRIF,671,CIB,55-64,94.47115385,North,direct,1,36
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,256500,360,not_neg,not_int,not_lpsm,1308000,pr,11760,CIB,787,EXP,45-54,19.61009174,North,direct,0,42
ncf,Male,nopre,type1,p3,l1,nopc,nob/c,1376500,360,not_neg,not_int,not_lpsm,1708000,pr,54300,EXP,572,CIB,55-64,80.59133489,North,direct,1,10
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,376500,360,not_neg,not_int,not_lpsm,608000,pr,4680,CIB,755,CIB,35-44,61.92434211,south,direct,0,41
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,296500,360,not_neg,not_int,not_lpsm,438000,pr,4140,CRIF,670,EXP,65-74,67.69406393,North,direct,0,44
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,566500,360,neg_amm,not_int,not_lpsm,418000,pr,8580,EQUI,760,EXP,45-54,75.2016129,North,direct,1,39
cf,Joint,pre,type1,p1,l1,nopc,nob/c,416500,360,not_neg,not_int,not_lpsm,858000,pr,10020,CIB,578,EXP,35-44,48.54312354,south,direct,0,24
cf,Female,nopre,type1,p4,l2,nopc,nob/c,476500,360,not_neg,not_int,not_lpsm,808000,pr,9000,CIB,648,CIB,45-54,58.97277228,North,direct,0,38
cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,686500,360,not_neg,not_int,not_lpsm,418000,pr,0,EQUI,836,EXP,45-54,75.2016129,south,direct,1,39
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,556500,240,neg_amm,not_int,not_lpsm,418000,ir,25680,EQUI,900,EXP,45-54,75.2016129,south,direct,1,39
cf,Female,nopre,type1,p3,l1,nopc,nob/c,266500,360,not_neg,not_int,not_lpsm,568000,pr,8580,CIB,777,EXP,55-64,46.91901408,North,direct,0,39
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,406500,360,not_neg,not_int,not_lpsm,458000,pr,7080,EXP,765,EXP,35-44,88.75545852,North,direct,0,36
cf,Male,nopre,type3,p4,l1,nopc,nob/c,256500,360,not_neg,not_int,not_lpsm,758000,pr,5700,CRIF,534,CIB,65-74,33.83905013,North,direct,0,39
cf,Joint,nopre,type3,p1,l1,nopc,nob/c,236500,360,not_neg,not_int,not_lpsm,238000,pr,4920,CIB,667,EXP,65-74,99.3697479,central,direct,0,36
cf,Male,nopre,type2,p3,l1,nopc,b/c,656500,360,not_neg,not_int,not_lpsm,418000,pr,8640,EQUI,880,EXP,35-44,75.2016129,North,direct,1,39
cf,Male,nopre,type1,p3,l1,nopc,nob/c,156500,360,not_neg,not_int,not_lpsm,258000,pr,3960,CIB,820,CIB,45-54,60.65891473,south,direct,0,31
ncf,Male,pre,type1,p1,l1,nopc,nob/c,406500,360,not_neg,not_int,not_lpsm,478000,pr,3600,EXP,568,CIB,25-34,85.041841,North,direct,0,49
cf,Female,nopre,type1,p3,l2,nopc,nob/c,476500,360,not_neg,not_int,not_lpsm,638000,pr,6180,EXP,805,EXP,>74,74.68652038,south,direct,0,48
cf,Male,nopre,type1,p4,l1,nopc,nob/c,676500,360,not_neg,not_int,not_lpsm,1208000,pr,10080,CRIF,590,CIB,55-64,56.00165563,south,direct,0,35
cf,Male,nopre,type2,p4,l1,nopc,b/c,206500,360,not_neg,not_int,not_lpsm,238000,pr,5700,EXP,892,CIB,35-44,86.76470588,North,direct,0,39
